Name,Title,gender,race,School,department
"Wiet, Victoria",Lecturer on History and Literature,F,White,FAS,HISTLIT
"Alworth, David",John L. Loeb Associate Professor of the Humanities,M,White,FAS,HISTLIT
"Biel, Steven",Senior Lecturer on History and Literature,M,White,FAS,HISTLIT
"Bolton, Jonathan",Professor of Slavic Languages and Literature,M,White,FAS,HISTLIT
"Carpio, Glenda",Professor of English and of African American and Studies,F,African American,FAS,HISTLIT
"Deloria, Philip",Chair of the Committee,M,White,FAS,HISTLIT
"Garcia Pena, Lorgia",Roy G. Clouse Associate Professor of Romance Languages and Literatures and of History & Literature,F,White,FAS,HISTLIT
"Greene, Virginie",Professor of Romance Languages and Literature,F,White,FAS,HISTLIT
"Jasanoff, Maya",Coolidge Professor of History,F,White,FAS,HISTLIT
"Kaminsky, Lauren",Associate Senior Lecturer,F,White,FAS,HISTLIT
"Kim, Ju Yon",Professor of English,F,Asian,FAS,HISTLIT
"Lynch, Deidre",Ernest Bernbaum Professor of Literature,F,White,FAS,HISTLIT
"Siskind, Mariano",Professor of Romance Languages and Literature,M,White,FAS,HISTLIT
"Weld, Kirsten",John L. Loeb Associate Professor of the Humanities,F,White,FAS,HISTLIT
"Blier, Suzanne",Allen Whitehill Clowes Professor of Fine Arts and Professor of African and African American Studies,F,White,FAS,HAA
"Buchloh, Benjamin",Andrew W. Mellon Professor of Modern Art,M,White,FAS,HAA
"Cummins, Thomas",Dumbarton Oaks Professor of the History of Pre-Columbian and Colonial Art,M,White,FAS,HAA
"del Real, Patricio",Assistant Professor of History of Art and Architecture,M,White,FAS,HAA
"Georganteli, Evridiki",Lecturer on History of Art and Architecture,F,White,FAS,HAA
"Gough, Maria","Joseph Pulitzer, Jr. Professor of Modern Art",F,White,FAS,HAA
"Hamburger, Jeffrey",Kuno Francke Professor of German Art and Culture,M,White,FAS,HAA
"Kalavrezou, Ioli",Dumbarton Oaks Professor of Byzantine Art,F,White,FAS,HAA
"Kelsey, Robin",Shirley Carter Burden Professor of Photography,M,White,FAS,HAA
"Kim, Jinah",Professor of History of Art and Architecture,F,Asian,FAS,HAA
"Kinew, Shawon",Assistant Professor of History of Art and Architecture,F,White,FAS,HAA
"Koerner, Joseph",Victor S. Thomas Professor of History of Art and Architecture,M,White,FAS,HAA
"Lajer-Burcharth, Ewa",William Dorr Boardman Professor of Fine Arts,F,White,FAS,HAA
"Lambert-Beatty, Carrie",Professor of History of Art and Architecture and of Visual and Environmental Studies,F,White,FAS,HAA
"Lewis, Sarah",Associate Professor of History of Art and Architecture,F,African American,FAS,HAA
"Lippit, Yukio",Jeffrey T. Chambers and Andrea Okamura Professor of History of Art and Architecture,M,Asian,FAS,HAA
"McCormick, Melissa","Professor of Japanese Art and Culture, Department of History of Art and Architecture",F,White,FAS,HAA
"Necipoglu-Kafadar, Gulru",Aga Khan Professor of Islamic Art,F,White,FAS,HAA
"Payne, Alina",Alexander P. Misheff Professor of History of Art and Architecture,F,White,FAS,HAA
"Pereda, Felipe",Fernando Zobel de Ayala Professor of Spanish Art,M,White,FAS,HAA
"Roberts, Jennifer L.",Elizabeth Cary Agassiz Professor of the Humanities,F,White,FAS,HAA
"Roxburgh, David",Prince Alwaleed bin Talal Professor of Islamic Art History,M,White,FAS,HAA
"Wang, Eugene",Abby Aldrich Rockefeller Professor of Asian Art,M,Asian,FAS,HAA
"Alam, Eram",Assistant Professor of the History of Science,F,Asian,FAS,HISTSCI
"Brandt, Allan","Amalie Moses Kass Professor of the History of Medicine in the Faculty of Medicine, and Professor of the History of Science in the Faculty of Arts and Sciences",M,White,FAS,HISTSCI
"Browne, Janet",Aramont Professor of the History of Science,F,White,FAS,HISTSCI
"Csiszar, Alex",Associate Professor of the History of Science,M,White,FAS,HISTSCI
"Galison, Peter",Joseph Pellegrino University Professor,M,White,FAS,HISTSCI
"Hammonds, Evelynn",Barbara Gutmann Rosenkrantz Professor of the History of Science and of African and African American Studies,F,African American,FAS,HISTSCI
"Harrington, Anne",Franklin L. Ford Professor of the History of Science,F,White,FAS,HISTSCI
"Hersch, Matthew",Associate Professor of History of Science,M,White,FAS,HISTSCI
"Jones, David",A. Bernard Ackerman Professor of the Culture of Medicine,M,White,FAS,HISTSCI
Shigehisa Kuriyama,Reischauer Institute Professor of Cultural History,M,Asian,FAS,HISTSCI
"Lemov, Rebecca",Professor of the History of Science,F,White,FAS,HISTSCI
"Lunbeck, Elizabeth",Professor of the History of Science in Residence,F,White,FAS,HISTSCI
"Marcus, Hannah",Assistant Professor of the History of Science,F,White,FAS,HISTSCI
"Oreskes, Naomi",Professor of the History of Science,F,White,FAS,HISTSCI
"Richardson, Sarah","Professor of the History of Science and of Studies of Women, Gender, and Sexuality",F,White,FAS,HISTSCI
"Roosth, Sophia",Frederick S. Danziger Associate Professor of the History of Science,F,White,FAS,HISTSCI
"Seow, Victor",Assistant Professor of the History of Science,M,Asian,FAS,HISTSCI
"Soto Laveaga, Gabriela",Antonio Madero Professor for the Study of Mexico,F,White,FAS,HISTSCI
"Wilson, Benjamin",Assistant Professor of the History of Science,M,White,FAS,HISTSCI
"Capellini, Terence",Richard B Wolf Associate Professor of Human Evolutionary Biology,M,White,FAS,HEBIO
"Carmody, Rachel",Assistant Professor of Human Evolutionary Biology,F,White,FAS,HEBIO
"Ellison, Peter",John Cowles research Professor of Anthropology,M,White,FAS,HEBIO
"Hecht, Erin",Assistant Professor of Human Evolutionary Biology,F,White,FAS,HEBIO
"Henrich, Joseph",Professor of Human Evolutionary Biology,M,White,FAS,HEBIO
"Liberman, Daniel","Edwin M. Lerner Professor of Biological Sciences,Professor of Human Evolutionary Biology",M,White,FAS,HEBIO
"Pilbeam, David",Henry Ford II Research Professor of Human Evolution,M,White,FAS,HEBIO
"Reich, David","Professor of Genetics, Harvard Medical School, Professor of Human Evolutionary Biology",M,White,FAS,HEBIO
"Ruvulo, Maryellen",Professor of Human Evolutionary Biology,F,White,FAS,HEBIO
"Surbeck, Martin",Assistant Professor,M,White,FAS,HEBIO
"Tuross, Noreen",Landon T. Clay Professor of Scientific Archaeology,F,White,FAS,HEBIO
"Wrangham, Richard",Ruth B. Moore Professor of Biological Anthropology,M,White,FAS,HEBIO
"Ahn, Dorothy",College Fellow in the Department of Linguistics,F,Asian,FAS,LING
"Bobaljik, Jonathan",Professor of Linguistics,M,White,FAS,LING
"Bottoms, Andrew",Preceptor in Linguistics,M,White,FAS,LING
"Charnavel, Isabelle",Associate Professor of Linguistics,F,White,FAS,LING
"Chierchia, Gennaro",Haas Foundations Professor of Linguistics,M,White,FAS,LING
"Davidson, Kathryn",Assistant Professor of Linguistics,F,White,FAS,LING
"Huang, James",Professor of Linguistics,M,Asian,FAS,LING
"Jasanoff, Jay",Diebold Professor of Indo-European Linguistics and Philology,M,White,FAS,LING
"Rau, Jeremy",Professor of Linguistics and of the Classics,M,White,FAS,LING
"Ryan, Kevin",Professor of Linguistics,M,White,FAS,LING
"Auroux, Denis",Professor of Mathematics,M,White,FAS,MATH
"Balibanu, Ana",Benjamin Peirce Fellow,F,White,FAS,MATH
"Bamberg, Paul",Senior Lecturer on Mathematics,M,White,FAS,MATH
"Bejleri, Dori",Benjamin Peirce Fellow,M,White,FAS,MATH
"Braley, Emily",Preceptor in Mathematics,F,White,FAS,MATH
"Brennecke, Christian",Benjamin Peirce Fellow,M,White,FAS,MATH
"Cain, John",Senior Lecturer on Mathematics,M,White,FAS,MATH
"Chen, Janet",Senior Preceptor in Mathematics,F,Asian,FAS,MATH
"Cheung, Man-Wai",Benjamin Peirce Fellow,F,Asian,FAS,MATH
"Collins, Voula",Preceptor in Mathematics,F,White,FAS,MATH
"Cuenca, Cesar",Benjamin Peirce Fellow,M,White,FAS,MATH
"Demers, Matthew",Preceptor in Mathematics,M,White,FAS,MATH
"Elkies, Noam",Professor of Mathematics,M,White,FAS,MATH
"Elmanto, Elden",Benjamin Peirce Fellow,M,Asian,FAS,MATH
"Freund, David",Preceptor in Mathematics,M,White,FAS,MATH
"Gaitsgory, Dennis",Herchel Smith Professor of Mathematics,M,White,FAS,MATH
"Gammage, Benjamin",Benjamin Peirce Fellow,M,White,FAS,MATH
"Gerig, Christopher",Lecturer on Mathematics,M,White,FAS,MATH
"Gottlieb, Robin",Professor of the Practice of Mathematics,F,White,FAS,MATH
"Grundmeier, Dusty",Associate Senior Lecturer on Mathematics,M,White,FAS,MATH
"Guerra, Jill",Preceptor in Mathematics,F,White,FAS,MATH
"Gundlach, Fabian",Benjamin Peirce Fellow,M,White,FAS,MATH
"Harris, Joseph",Higgins Professor of Mathematics,M,White,FAS,MATH
"Hironaka, Erika",Lecturer,F,Asian,FAS,MATH
"Hopkins, Michael",George Putnam Professor of Pure and Applied Mathematics,M,White,FAS,MATH
"Junkins, Caroline",Preceptor in Mathematics,F,White,FAS,MATH
"Kalashnikov, Elana",Benjamin Peirce Fellow,F,White,FAS,MATH
"Kelly, Brendan",Senior Preceptor in Mathematics,M,White,FAS,MATH
"Kisin, Mark",Perkins Professor of Mathematics,M,White,FAS,MATH
"Knill, Oliver",Preceptor in Mathematics,M,White,FAS,MATH
"Kronheimer, Peter",William Caspar Graustein Professor of Mathematics,M,White,FAS,MATH
"Kupers, Alexander",Benjamin Peirce Fellow,M,White,FAS,MATH
"Lemm, Marius",Benjamin Peirce Fellow,M,White,FAS,MATH
"Maskin, Eric",Adams University Professor,M,White,FAS,MATH
"Mazur, Barry",Gerhard Gade University Professor,M,White,FAS,MATH
"McMullen, Curtis",Maria Moors Cabot Professor of the Natural Sciences,M,White,FAS,MATH
"Nowak, Martin",Professor of Mathematics and of Biology,M,White,FAS,MATH
"Orosz Hunsiker, Florencia",Lecturer in Math,F,White,FAS,MATH
"Paul, Stepan",Preceptor in Mathematics,M,White,FAS,MATH
"Picard, Sebastien",Benjamin Peirce Fellow,M,White,FAS,MATH
"Shani, Assaf",Benjamin Peirce Fellow,M,White,FAS,MATH
"Siu, Yum-Tong",William Elwood Byerly Professor of Mathematics,M,Asian,FAS,MATH
"Taubes, Cliff",William Petschek Professor of Mathematics,M,White,FAS,MATH
"Tripathy, Arnav",Benjamin Peirce Fellow,M,Asian,FAS,MATH
"Ullery, Brooke",Benjamin Peirce Fellow,F,White,FAS,MATH
"Vasey, Sebastien",Benjamin Peirce Fellow,M,White,FAS,MATH
"Walker, Hakim",Preceptor in Mathematics,M,African American,FAS,MATH
"Williams, Lauren",Dwight Parker Robinson Professor of Mathematics,F,White,FAS,MATH
"Woodin, Hugh",Professor of Mathematics and of Philosophy,M,White,FAS,MATH
"Wu, Tianqi",Lecturer in Math,M,Asian,FAS,MATH
"Yau, Horng-Tzer",Merton Professor of Mathematics,M,Asian,FAS,MATH
"Yau, Shing-Tung",William Caspar Graustein Professor of Mathematics and Professor of Physics,M,Asian,FAS,MATH
"Yildiz, Eylem",Lecturer in Math,F,White,FAS,MATH
"Zemke, Drew",Preceptor in Mathematics,M,White,FAS,MATH
"Bellono, Nicholas",Assistant Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Berg, Howard","Herchel Smith Research Professor of Physics, Professor of Molecular and Cellular Biology",M,White,FAS,MCBIO
"Brewster, Monique",Preceptor in Molecular and Cellular Biology,F,African American,FAS,MCBIO
"Cluzel, Philippe",Professor of Molecular and Cellular Biology and Gordon McKay Professor of Applied Physics,M,White,FAS,MCBIO
"D'Souza, Victoria",Professor of Molecular and Cellular Biology,F,African American,FAS,MCBIO
"Denic, Vladimir",Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Dowling, John",Gordon and Llura Gund Research Professor of Neurosciences,M,White,FAS,MCBIO
"Dulac, Catherine",Higgins Professor of Molecular and Cellular Biology,F,White,FAS,MCBIO
"Eddy, Sean",Ellmore C. Patterson Professor of Molecular and Cellular Biology and of Applied Mathematics,M,White,FAS,MCBIO
"Engert, Florian",Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Extavour, Cassandra","Professor of Organismic & Evolutionary Biology, Professor of Molecular and Cellular Biology",F,African American,FAS,MCBIO
"Fronk, David",Preceptor in Molecular and Cellular Biology,M,White,FAS,MCBIO
"Garner, Ethan",Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Gaudet, Rachelle",Professor of Molecular and Cellular Biology,F,White,FAS,MCBIO
"Gharaei, Nava",Preceptor in the Life Sciences,F,Asian,FAS,MCBIO
"Gibbs, Karine",Associate Professor of Molecular and Cellular Biology,F,African American,FAS,MCBIO
"Guidotti, Guido",Higgins Professor of Biochemistry,M,White,FAS,MCBIO
"Hekstra, Doeke",Assistant Professor of Molecular and Cellular Biology and of Applied Physics,M,White,FAS,MCBIO
"Hensch, Takao",Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Hoekstra, Hopi","Professor of Molecular and Cellular Biology, Professor of Organismic & Evolutionary Biology",F,White,FAS,MCBIO
"Hunter, Craig",Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Kahne, Daniel",Higgins Professor of Chemistry and Chemical Biology and of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Kleckner, Nancy",Herchel Smith Professor of Molecular Biology,F,White,FAS,MCBIO
"Kunes, Sam",Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Lichtman, Jeff",Jeremy R. Knowles Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Liu, Jessica",Preceptor in Molecular and Cellular Biology,F,Asian,FAS,MCBIO
"Losick, Richard",Maria Moors Cabot Professor of Biology,M,White,FAS,MCBIO
"Lue, Robert",Professor of the Practice of Molecular and Cellular Biology,M,Asian,FAS,MCBIO
"Magnotti, Laura",Lecturer on Neuroscience,F,White,FAS,MCBIO
"Mao, Dominic",Lecturer in MCB,M,Asian,FAS,MCBIO
"Meselson, Matthew,Thomas Dudley Cabot Professor of the Natural Sciences,M,White,FAS,MCBIO
"Murray, Andrew",Herchel Smith Professor of Molecular Genetics,M,White,FAS,MCBIO
"Murthy, Venkatesh",Raymond Leo Erikson Life Sciences Professor of Molecular and Cellular Biology,M,Asian,FAS,MCBIO
"Needleman, Daniel",Gordon McKay Professor of Applied Physics and Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Nelson, David","Arthur K. Solomon Professor of Biophysics, Professor of Physics and Applied Physics",M,White,FAS,MCBIO
"Park, Annie",Preceptor in Molecular and Cellular Biology,F,Asian,FAS,MCBIO
"Prigozhin, Maxim",Assistant Professor of Molecular and Cellular Biology and of Applied Physics,M,White,FAS,MCBIO
"Quast, Kathleen",Preceptor in Neurobiology,F,White,FAS,MCBIO
"Ramanathan, Sharad",Llura and Gordon Gund Professor of Neurosciences and of Molecular and Cellular Biology and Professor of Applied Physics and Stem Cell and Regenerative Biology,M,Asian,FAS,MCBIO
"Rivas, Elena",Lecturer in Molecular and Cellular Biolog,F,White,FAS,MCBIO
"Sanes, Joshua",Jeff C. Tarr Professor of Molecular and Cellular Biology,M,White,FAS,MCBIO
"Uchida, Naoshige",Professor of Molecular and Cellular Biology,M,Asian,FAS,MCBIO
"Verschave, Sien",Preceptor in Molecular and Cellular Biology,F,White,FAS,MCBIO
"Viel, Alain",Senior Lecturer on Molecular and Cellular Biology,M,White,FAS,MCBIO
"Whipple, Amanda",Assistant Professor of Molecular and Cellular Biology,F,White,FAS,MCBIO
"Bodner, Jessica",Preceptor in Music,F,White,FAS,MUSIC
"Chase, Claire",Professor of the Practice of Music,F,White,FAS,MUSIC
"Chong, Daniel",Preceptor in Music,M,Asian,FAS,MUSIC
"Clark, Andrew",Senior Lecturer on Music and Director of Choral Activities,M,White,FAS,MUSIC
"Clark, Suzannah",Morton B. Knafel Professor of Music,F,White,FAS,MUSIC
"Cortese, Federico",Senior Lecturer on Music and Director of the Harvard-Radcliffe Orchestra,M,White,FAS,MUSIC
"Czernowin, Chaya",Walter Bigelow Rosen Professor of Music,F,White,FAS,MUSIC
"Hamao, Ken",Preceptor in Music,M,Asian,FAS,MUSIC
"Hasty, Christopher",Walter W. Naumburg Professor of Music,M,White,FAS,MUSIC
"Iyer, Vijay",Franklin D. and Florence Rosenblatt Professor of the Arts,M,Asian,FAS,MUSIC
"Jackson, Yvette",Assistant Professor of Music,F,African American,FAS,MUSIC
"Jakubowski, Joseph",College Fellow in the Department of Music,M,White,FAS,MUSIC
"Monson, Ingrid","Quincy Jones Professor of African-American Music, supported by the Time Warner Endowment",F,White,FAS,MUSIC
"Morrison, Robert",College Fellow in Music,M,White,FAS,MUSIC
"Oja, Carol",William Powell Mason Professor of Music,F,White,FAS,MUSIC
"Pukinskis, Katherine",Preceptor in Music,F,White,FAS,MUSIC
"Rehding, Alexander",Fanny Peabody Professor of Music,M,White,FAS,MUSIC
"Shelemay, Kay",G. Gordon Watts Professor of Music and Professor of African and African American Studies,F,White,FAS,MUSIC
"Shelley, Braxton",Assistant Professor of Music,M,African American,FAS,MUSIC
"Shreffler, Anne",James Edward Ditson Professor of Music,F,White,FAS,MUSIC
"Spalding, Esperanza",Professor of the Practice of Music,F,African American,FAS,MUSIC
"Terry, Yosvany",Senior Lecturer on Music and Director of Jazz Ensembles,M,African American,FAS,MUSIC
"Tutschku, Hans",Fanny P. Mason Professor of Music,M,White,FAS,MUSIC
"Uy, Michael",Lecturer on Music,M,Asian,FAS,MUSIC
"van Orden, Kate","Dwight P. Robinson, Jr. Professor of Music",F,White,FAS,MUSIC
"Wolf, Richard",Professor of Music,M,White,FAS,MUSIC
"Aharony, Irit",Senior Preceptor in Modern Hebrew,M,White,FAS,NELC
"Barjamovic, Gojko",Senior Lecturer on Near Eastern Languages and Civilizations,M,White,FAS,NELC
"Barmada abida, Nour",Preceptor in Arabic,F,White,FAS,NELC
"Cohen, Shaye",Nathan Littauer Professor of Hebrew Literature and Philosophy,M,White,FAS,NELC
"Cozzens, Richard",Preceptor in Arabic,M,White,FAS,NELC
"Dayani, Sheida",Preceptor in Persian,F,White,FAS,NELC
"Demir, Meryem",Preceptor in Near Eastern Languages and Civilizations,F,White,FAS,NELC
"El-Rouayheb, Khaled",James Richard Jewett Professor of Arabic and of Islamic Intellectual History,M,White,FAS,NELC
"Feldman, Sara",Preceptor in Yiddish,F,White,FAS,NELC
"Graham, William","Harvard University Distinguished Service Professor , Murray A. Albertson Research Professor of Middle Eastern Studies",M,White,FAS,NELC
"Granara, William",Professor of the Practice of Arabic on the Gordon Gray Endowment,M,White,FAS,NELC
"Gulesserian, Lisa",Preceptor on Armenian Language and Culture,M,White,FAS,NELC
"Habib, Muhammad",Preceptor in Arabic,M,White,FAS,NELC
"Harris, Jay",Harry Austryn Wolfson Professor of Jewish Studies,M,White,FAS,NELC
"Hawkins, Laura",Lecturer on Near Eastern Languages and Civilizations,F,White,FAS,NELC
"Korica Sullivan, Nevenka",Senior Preceptor in Arabic on the Ali Abdul Rahman Alturki Endowment,F,White,FAS,NELC
"Landau, Justine",Associate Professor of Near Eastern Languages and Civilizations,F,White,FAS,NELC
"Manuelian, Peter",Barbara Bell Professor of Egyptology,M,White,FAS,NELC
"Nasser, Shady",Assistant Professor of Near Eastern Languages and Civilizations,M,White,FAS,NELC
"Russell, James",Mashtots Professor of Armenian Studies,M,White,FAS,NELC
"Saley, Richard",Lecturer on the Ancient Near East,M,White,FAS,NELC
"Steinkeller, Piotr",Professor of Assyriology,M,White,FAS,NELC
"Stern, David",Harry Starr Professor of Classical and Modern Jewish and Hebrew Literature and Professor of Comparative Literature,M,White,FAS,NELC
"Taskomur, Himmet",Senior Preceptor in Ottoman and Modern Turkish,M,White,FAS,NELC
"Zaritt, Saul",Assistant Professor of Near Eastern Languages and Civilizations and of Comparative Literature,M,White,FAS,NELC
"Zeghal, Malika",Prince Alwaleed Bin Talal Professor in Contemporary Islamic Thought and Life,F,White,FAS,NELC
"Biewener, Andrew",Charles P. Lyman Professor of Biology,M,White,FAS,OEBIO
"Cavanaugh, Colleen",Edward C. Jeffrey Professor of Biology,F,White,FAS,OEBIO
"Davies, Andrew",Assistant Professor of Organismic and Evolutionary Biology,M,White,FAS,OEBIO
"Davis, Charles",Professor of Organismic and Evolutionary Biology and Curator of Vascular Plants in the Harvard University Herbaria,M,White,FAS,OEBIO
"de Bivort, Benjamin",Thomas D. Cabot Associate Professor of Organismic and Evolutionary Biology,M,White,FAS,OEBIO
"Desai, Michael",Professor of Organismic and Evolutionary Biology and of Physics,M,Asian,FAS,OEBIO
"Edwards, Scott",Professor of Organismic and Evolutionary Biology,M,African American,FAS,OEBIO
"Extavour, Cassandra",Professor of Organismic and Evolutionary Biology and of Molecular and Cellular Biology,F,African American,FAS,OEBIO
"Farrell, Brian",Monique and Philip Lehner Professor for the Study of Latin America,M,White,FAS,OEBIO
"Friedman, William",Arnold Professor of Organismic and Evolutionary Biology,M,White,FAS,OEBIO
"Girguis, Peter",Professor of Organismic and Evolutionary Biology,M,White,FAS,OEBIO
"Giribet, Gonzalo",Professor of Organismic and Evolutionary Biology and Curator of Invertebrates in the Museum of Comparative Zoology,M,White,FAS,OEBIO
"Haig, David",George Putnam Professor of Organismic and Evolutionary Biology,M,White,FAS,OEBIO
"Hanken, James",Professor of Biology and Curator of Herpetology,M,White,FAS,OEBIO
"Hartl, Daniel",Higgins Professor of Biology,M,White,FAS,OEBIO
"Hoekstra, Hopi",Professor of Organismic and Evolutionary Biology and Molecular and Cellular Biology,F,White,FAS,OEBIO
"Holbrook, Noel",Charles Bullard Professor of Forestry,F,White,FAS,OEBIO
"Hopkins, Robin",Associate Professor of Organismic and Evolutionary Biology,F,White,FAS,OEBIO
"Knoll, Andrew",Fisher Professor of Natural History and Professor of Earth and Planetary Sciences,M,White,FAS,OEBIO
"Kramer, Elena",Bussey Professor of Organismic and Evolutionary Biology,F,White,FAS,OEBIO
"Lauder, George",Henry Bryant Bigelow Professor of Ichthyology,M,White,FAS,OEBIO
"Mahadevan, Lakshminarayanan","Lola England de Valpine Professor of Applied Mathematics, of Organismic and Evolutionary Biology and of Physics",M,Asian,FAS,OEBIO
"Mallet, James",Professor of Organismic and Evolutionary Biology in Residence,M,White,FAS,OEBIO
"McCarthy, James",Professor of Biological Oceanography,M,White,FAS,OEBIO
"Moorcroft, Paul",Professor of Organismic and Evolutionary Biology,M,White,FAS,OEBIO
"Olveczky, Bence",Professor of Organismic and Evolutionary Biology,M,White,FAS,OEBIO
"Ortega-Hernandez, Javier",Assistant Professor of Organismic and Evolutionary Biology and Curator of Invertebrate Paleontology in the Museum of Comparative Zoology,M,White,FAS,OEBIO
"Pfister, Donald",Asa Gray Professor of Systematic Botany and Curator of the Farlow Library and Herbarium,M,White,FAS,OEBIO
"Pierce, Naomi",Sidney A. and John H. Hessel Professor of Biology and Curator of Lepidoptera,F,White,FAS,OEBIO
"Pierce, Stephanie",Thomas D. Cabot Associate Professor of Organismic and Evolutionary Biology,F,White,FAS,OEBIO
"Sabeti, Pardis",Professor of Organismic and Evolutionary Biology,F,White,FAS,OEBIO
"Srivastava, Mansi",Associate Professor of Organismic and Evolutionary Biology,F,Asian,FAS,OEBIO
"Wakeley, John",Professor of Organismic and Evolutionary Biology,M,White,FAS,OEBIO
"Zhang, Yun",Professor of Organismic and Evolutionary Biology,F,Asian,FAS,OEBIO
"Behrends, Jeffrey",Lecturer on Philosophy,M,White,FAS,PHIL
"Berker, Selim","Alford Professor of Natural Religion, Moral Philosophy, and Civil Polity",M,White,FAS,PHIL
"Chen, Cheryl",Senior Lecturer on Philosophy,F,Asian,FAS,PHIL
"Doyle, James",Senior Lecturer on Philosophy,M,White,FAS,PHIL
"Goldfarb, Warren",Walter Beverly Pearson Professor of Modern Mathematics and Mathematical Logic,M,White,FAS,PHIL
"Hall, Edward",Norman E. Vuilleumier Professor of Philosophy,M,White,FAS,PHIL
"Kelly, Sean",Teresa G. and Ferdinand F. Martignetti Professor of Philosophy,M,White,FAS,PHIL
"Koellner, Peter",Professor of Philosophy,M,White,FAS,PHIL
"Korsgaard, Christine",Arthur Kingsley Porter Professor of Philosophy,F,White,FAS,PHIL
"Matherne, Samantha",Assistant Professor of Philosophy,F,White,FAS,PHIL
"McDonough, Jeffrey",Professor of Philosophy,M,White,FAS,PHIL
"Moran, Richard",Brian D. Young Professor of Philosophy,M,White,FAS,PHIL
"Nickel, Bernhard",Professor of Philosophy,M,White,FAS,PHIL
"Richard, Mark",Professor of Philosophy,M,White,FAS,PHIL
"Rinard, Susanna",John L. Loeb Associate Professor of the Humanities,F,White,FAS,PHIL
"Rosen, Jacob",Assistant Professor of Philosophy,M,White,FAS,PHIL
"Schouten, Regina",Assistant Professor of Philosophy,F,White,FAS,PHIL
"Sen, Amartya",Thomas W. Lamont University Professor,M,Asian,FAS,PHIL
"Shelby, Tommie",Caldwell Titcomb Professor of African and African American Studies and of Philosophy,M,African American,FAS,PHIL
"Siegel, Susanna",Edgar Pierce Professor of Philosophy,F,White,FAS,PHIL
"Simmons, Alison",Samuel H. Wolcott Professor of Philosophy,F,White,FAS,PHIL
"Stanczyk, Lucas",Assistant Professor of Philosophy,M,White,FAS,PHIL
"Arguelles, Carlos",Assistant Professor of Physics,M,White,FAS,PHY
"Barandes, Jacob",Lecturer on Physics,M,White,FAS,PHY
"Beznosko, Dmitriy",Preceptor in Physics,M,White,FAS,PHY
"Brenner, Michael","Michael F. Cronin Professor of Applied Mathematics and Applied Physics and Professor of Physics; Area Dean, Applied Mathematics",M,White,FAS,PHY
"Cohen, Adam",Professor of Chemistry and Chemical Biology and of Physics,M,White,FAS,PHY
"Demler, Eugene",Professor of Physics,M,White,FAS,PHY
"Desai, Michael",Professor of Organismic and Evolutionary Biology and of Physics,M,Asian,FAS,PHY
"Deslauriers, Louis",Senior Preceptor,M,White,FAS,PHY
"Doyle, John",Henry B. Silsbee Professor of Physics,M,White,FAS,PHY
"Dvorkin, Cora",Associate Professor of Physics,F,White,FAS,PHY
"Feldman, Gary","Frank B. Baird, Jr., Research Professor of Science",M,White,FAS,PHY
"Finkbeiner, Douglas",Professor of Astronomy and of Physics,M,White,FAS,PHY
"Franklin, Melissa",Mallinckrodt Professor of Physics,F,White,FAS,PHY
"Georgi, Howard",Mallinckrodt Professor of Physics,M,White,FAS,PHY
"Gomez-Laberge, Camille",Preceptor in Physics,M,White,FAS,PHY
"Greiner, Markus",George Vasmer Leverett Professor of Physics,M,White,FAS,PHY
"Guenette, Roxanne",Assistant Professor of Physics,F,White,FAS,PHY
"Hailu, Girma",Senior Preceptor,M,African American,FAS,PHY
"Hau, Lene",Mallinckrodt Professor of Physics and of Applied Physics,F,Asian,FAS,PHY
"Heller, Eric",Abbott and James Lawrence Professor of Chemistry,M,White,FAS,PHY
"Hoffman, Jenny",Clowes Professor of Science,F,White,FAS,PHY
"Huth, John",Donner Professor of Science,M,White,FAS,PHY
"Jaffe, Arthur",Landon T. Clay Professor of Mathematics and Theoretical Science,M,White,FAS,PHY
"Jafferis, Daniel",Thomas D. Cabot Associate Professor of Physics,M,White,FAS,PHY
"Kestin, Gregory",Preceptor in Physics,M,White,FAS,PHY
"Kim, Philip",Professor of Physics and of Applied Physics,M,Asian,FAS,PHY
"Kovac, John",Professor of Astronomy and Physics,M,White,FAS,PHY
"Lukin, Mikhail",George Vasmer Leverett Professor of Physics,M,White,FAS,PHY
"Mazur, Eric",Balkanski Professor of Physics,M,White,FAS,PHY
"McCarty, Logan S.",Lecturer on Physics,M,White,FAS,PHY
"Morii, Masahiro",Donner Professor of Science,M,Asian,FAS,PHY
"Morin, David",Senior Lecturer on Physics,M,White,FAS,PHY
"Mundy, Julia",Assistant Professor of Physics,F,White,FAS,PHY
"Narayanamurti, Venkatesh",Benjamin Peirce Research Professor of Technology and Public Policy,M,Asian,FAS,PHY
"Nelson, David",Arthur K. Solomon Professor of Biophysics and Professor of Physics and Applied Physics,M,White,FAS,PHY
